id_venta,id_cliente,id_vehiculo,id_sucursal,id_fecha,cantidad_dias,monto_total,descuento,metodo_pago
6.0,11.0,12.0,4.0,242.0,15.0,8338.0,813.0,Efectivo
10.0,32.0,19.0,2.0,85.0,11.0,14113.0,982.0,Transferencia
26.0,54.0,2.0,5.0,5.0,6.0,17481.0,383.0,Transferencia
30.0,2.0,12.0,4.0,2.0,17.0,10158.0,256.0,Transferencia
34.0,3.0,5.0,1.0,121.0,7.0,14761.0,368.0,Tarjeta
37.0,27.0,19.0,4.0,6.0,8.0,15761.0,786.0,Efectivo
39.0,10.0,14.0,3.0,231.0,9.0,19844.0,188.0,Efectivo
42.0,25.0,7.0,2.0,258.0,2.0,19568.0,455.0,Tarjeta
43.0,44.0,10.0,6.0,224.0,24.0,15932.0,677.0,Efectivo
47.0,41.0,16.0,6.0,206.0,11.0,3333.0,492.0,Efectivo
50.0,34.0,6.0,5.0,111.0,11.0,5485.0,358.0,Transferencia
51.0,46.0,17.0,4.0,206.0,25.0,4098.0,982.0,Transferencia
64.0,58.0,17.0,6.0,121.0,1.0,12109.0,93.0,Tarjeta
66.0,96.0,6.0,3.0,287.0,11.0,2792.0,637.0,Transferencia
79.0,77.0,6.0,3.0,209.0,12.0,2616.0,440.0,Tarjeta
87.0,65.0,4.0,4.0,13.0,27.0,9417.0,221.0,Efectivo
91.0,88.0,3.0,3.0,240.0,6.0,768.0,70.0,Transferencia
92.0,80.0,20.0,5.0,99.0,10.0,4627.0,812.0,Efectivo
100.0,33.0,1.0,6.0,82.0,23.0,16171.0,880.0,Transferencia
114.0,24.0,14.0,1.0,216.0,20.0,14267.0,681.0,Efectivo
121.0,79.0,11.0,5.0,12.0,29.0,15043.0,32.0,Efectivo
129.0,17.0,8.0,3.0,205.0,4.0,2350.0,681.0,Efectivo
137.0,99.0,12.0,1.0,158.0,19.0,14080.0,950.0,Transferencia
138.0,10.0,1.0,6.0,261.0,14.0,5002.0,620.0,Tarjeta
144.0,18.0,15.0,1.0,199.0,25.0,14662.0,828.0,Tarjeta
146.0,92.0,17.0,4.0,120.0,22.0,17212.0,654.0,Tarjeta
147.0,2.0,10.0,5.0,186.0,8.0,1560.0,598.0,Transferencia
