id_fecha,fecha,mes,trimestre,ano,dia_semana
1,2024-11-30,8,1,2024,Domingo
,2024-12-17,4,2,2024,Jueves
3,2025-10-06,9,2,2025,Miércoles
4,2024-12-10,4,4,2025,
5,2025-07-22,9,,2025,Lunes
6,2025-04-15,4,1,2024,Sábado
7,2025-01-21,6,2,,Martes
8,,7,1,2024,
9,2024-10-13,5,2,2024,Sábado
10,2024-10-15,11,3,2024,Viernes
11,2024-11-03,2,3,2024,Miércoles
12,2024-12-01,12,1,2024,Domingo
13,2025-02-09,3,1,2024,Miércoles
,2024-12-02,12,1,2024,Miércoles
15,2024-11-16,5,2,2025,Domingo
16,2024-10-28,7,1,2024,Miércoles
17,2025-10-05,2,,2024,Martes
18,2025-01-17,4,1,2024,Sábado
19,2024-12-26,2,4,2025,Viernes
20,2024-12-01,10,1,2024,Domingo
21,,8,4,,Viernes
22,2025-07-23,3,1,2024,Martes
23,2024-11-17,7,3,2025,Domingo
24,2025-05-06,2,2,2025,Domingo
25,2024-12-04,2,2,2025,Lunes
26,2025-08-26,4,3,2024,Jueves
27,,10,1,2024,Miércoles
28,2025-10-01,10,,2025,Miércoles
29,2025-01-26,7,,2024,Lunes
30,2024-10-27,7,4,2025,Sábado
31,2025-02-20,,2,2024,Sábado
32,2024-10-16,,4,2024,Jueves
33,2024-11-20,9,3,2024,Martes
34,,2,1,2024,Jueves
35,2024-12-23,12,2,2025,Miércoles
36,2025-02-03,6,4,2025,Jueves
37,2024-10-17,11,2,2024,Lunes
38,2025-03-09,7,3,2024,Miércoles
39,,10,3,2025,Sábado
40,2024-11-18,6,3,2024,Jueves
41,2025-05-22,7,1,,Domingo
42,2025-05-18,12,4,2024,Jueves
43,2025-04-21,2,4,2024,Miércoles
44,2025-04-23,7,4,2025,Sábado
45,2025-06-08,,3,2024,Miércoles
46,,5,2,2024,Lunes
47,2025-01-23,4,1,2025,Miércoles
48,2024-10-16,11,1,2024,Viernes
49,2025-08-26,10,4,2024,Miércoles
50,2025-09-29,3,1,2025,Lunes
51,2024-12-30,8,1,2024,Miércoles
52,2024-10-16,7,3,2025,Miércoles
53,2024-10-15,8,2,2024,Jueves
54,2025-05-03,12,3,2025,Domingo
55,2025-04-30,3,,2025,Lunes
56,2024-12-04,6,,2024,Jueves
57,2024-10-26,3,4,2025,Domingo
58,2025-06-05,12,1,2025,Lunes
59,2025-08-17,10,3,2024,Martes
60,2025-05-25,2,3,2025,Viernes
61,2025-06-25,1,1,2024,Lunes
62,2025-05-30,6,1,,Lunes
,2025-05-26,7,1,2025,Miércoles
64,2025-02-17,12,,2025,Jueves
65,2025-06-18,5,3,2025,Lunes
66,2025-06-23,4,2,2024,Domingo
67,2024-12-23,9,,2024,Domingo
68,2025-02-01,10,1,2025,Viernes
69,2025-06-26,5,4,,Viernes
70,2025-03-01,7,1,2025,Sábado
71,2025-09-04,3,3,2024,Martes
72,2025-03-21,8,4,2024,Domingo
73,2024-12-28,10,2,2024,Sábado
74,2024-10-20,7,3,2024,Domingo
75,2025-05-13,4,2,2025,Domingo
76,2024-11-08,8,3,2024,Domingo
77,2025-01-05,,1,2025,Jueves
78,2025-04-13,3,4,2025,Martes
79,2025-09-17,1,4,2024,Miércoles
80,2024-10-29,4,2,2025,Domingo
81,2025-03-14,10,2,2024,Lunes
82,2025-10-03,5,3,2024,Miércoles
83,2024-10-20,10,,2025,Domingo
84,2025-03-18,5,3,2025,Domingo
85,2025-01-29,11,2,2024,Viernes
86,2025-04-12,12,3,2025,Jueves
87,2025-01-27,12,3,2024,Sábado
88,2025-08-16,6,1,2025,Miércoles
89,2024-10-26,8,4,2024,Miércoles
90,2025-07-02,11,1,2025,Viernes
91,2025-02-01,5,4,,Sábado
92,2025-04-23,7,2,2025,Lunes
93,2024-12-21,5,1,2025,Viernes
94,2025-09-20,2,4,2024,Domingo
95,2025-07-01,6,2,2025,Viernes
96,2025-04-28,12,1,2025,Viernes
97,2024-10-19,4,3,,Jueves
98,2024-12-27,1,2,2025,Martes
99,2025-01-01,,4,2024,Miércoles
100,2025-06-06,10,3,2024,Martes
101,2025-09-19,5,1,2024,Jueves
102,2025-08-18,,2,2024,Miércoles
103,,,1,2024,Martes
104,2024-10-29,4,2,2025,Sábado
105,2024-12-07,8,1,2025,Jueves
106,2024-11-10,10,4,2025,Sábado
107,2025-01-30,3,1,2024,Lunes
108,2025-08-25,11,4,2025,Jueves
109,2025-05-13,8,2,2024,
110,2025-07-23,7,4,2025,Viernes
111,2025-08-19,12,,2024,Miércoles
112,2025-07-15,2,1,2024,Jueves
113,2025-08-27,10,2,2025,Jueves
114,2025-03-23,2,3,2024,Lunes
115,2025-05-13,4,2,2025,Lunes
116,2024-10-17,2,1,,Jueves
117,2025-09-10,12,1,,Jueves
118,2025-03-12,4,4,2025,Viernes
119,2024-11-20,1,1,2024,Lunes
120,2025-04-18,6,2,2024,Martes
121,2025-04-08,12,1,,Miércoles
122,2025-09-21,1,2,2025,Domingo
123,2025-08-09,3,2,2025,
124,2024-12-01,11,4,2024,Jueves
125,2025-09-29,3,1,2025,
126,,2,3,2024,Jueves
127,2025-07-20,,4,2025,Martes
128,2025-02-26,3,3,2024,Sábado
129,2024-11-12,,3,2024,
130,2025-08-05,6,4,2025,Lunes
131,2025-08-31,4,3,2025,Sábado
132,2025-03-02,7,4,2024,Lunes
133,,5,,2024,Sábado
134,2024-11-12,1,4,2024,Viernes
135,2025-04-30,1,3,,Sábado
136,2025-02-23,5,1,2025,Domingo
137,2025-10-03,10,2,2024,Martes
138,2025-09-01,6,4,2025,Martes
139,2024-11-24,5,3,2025,Jueves
140,2025-02-09,2,4,2025,Domingo
141,2025-04-03,7,1,2024,Domingo
142,2024-10-25,,2,2024,Domingo
143,2025-01-17,6,4,2024,Jueves
144,2025-10-07,2,2,2025,Domingo
145,2025-08-27,7,1,2024,Lunes
146,2025-04-16,8,2,2025,Lunes
147,2024-10-25,9,4,2024,Jueves
,2024-12-07,10,4,2024,Jueves
149,2025-09-29,11,4,2025,Viernes
150,2024-10-11,3,3,,Martes
151,2025-02-23,6,4,,Miércoles
152,2024-11-08,3,1,2025,Domingo
153,2025-05-15,4,4,2025,Sábado
154,2025-01-04,8,1,2024,Domingo
155,2025-04-16,6,1,2024,Jueves
156,2025-09-25,6,4,2024,Martes
157,2025-07-23,11,,2025,Jueves
158,2024-11-27,11,1,2024,Jueves
159,2025-04-18,10,3,,Viernes
,2025-07-01,2,2,2024,Martes
161,2025-05-17,1,3,2025,Viernes
162,,4,2,2025,Miércoles
163,2025-06-29,8,1,2024,Jueves
164,2025-08-11,4,2,2024,Lunes
165,2025-08-16,1,4,2024,Miércoles
166,2025-08-26,5,3,2025,Martes
167,2025-07-15,2,3,2025,
168,2025-03-23,11,3,2024,Lunes
169,2025-06-21,11,,2025,Martes
170,2024-11-05,4,2,2024,Viernes
,2024-12-27,5,4,2024,Miércoles
172,,7,4,2024,Viernes
173,2024-11-29,1,3,2024,Miércoles
174,2024-11-09,,3,2024,Lunes
175,2025-05-07,5,3,2025,Domingo
176,2025-09-27,6,1,2025,Martes
177,2024-11-15,7,4,2025,Viernes
178,2024-10-31,11,1,2024,Miércoles
179,2025-08-01,9,3,2024,Domingo
180,2025-09-18,10,1,,Jueves
,2025-09-30,9,3,2025,Lunes
182,,11,1,2024,Sábado
183,2025-07-21,6,3,2024,Viernes
184,2025-08-15,,4,2024,Domingo
185,2025-05-03,10,1,2025,Martes
186,2025-09-09,1,2,,Martes
187,2024-11-06,12,1,2024,Miércoles
188,2025-08-13,4,2,2025,Lunes
189,2025-02-23,8,3,2024,Martes
190,2025-08-25,2,4,2024,Domingo
191,2025-02-05,10,2,2024,Jueves
192,2024-11-11,1,3,2025,Miércoles
193,2025-04-13,5,1,2025,Domingo
,2025-05-21,5,4,2024,Viernes
195,2025-01-12,7,2,2025,Jueves
196,2025-04-06,2,,2025,Miércoles
197,2025-04-26,9,3,2025,
198,2024-11-14,10,3,2024,Sábado
,2025-04-26,2,4,2025,Martes
200,2025-04-09,8,4,2025,Jueves
201,,1,3,2024,
202,2025-09-06,9,,2024,Lunes
203,2025-05-14,6,4,2025,
204,2025-07-23,11,2,2025,Jueves
205,2024-12-29,2,1,2024,Sábado
206,2025-07-27,3,1,2024,Martes
207,2025-05-20,10,3,2025,Miércoles
208,2025-06-26,10,1,2025,Lunes
209,2025-06-01,12,2,2025,Martes
,2025-09-02,1,4,2025,Martes
211,2025-04-06,12,2,2025,Miércoles
212,2025-06-25,,3,2025,Sábado
213,2025-08-12,4,1,2024,
214,2024-12-03,2,2,2024,Lunes
215,2025-05-09,4,4,2024,
216,2025-01-09,11,4,2025,Lunes
217,2025-03-22,10,3,2024,Sábado
218,2025-06-22,11,1,2025,Jueves
219,2025-08-28,10,1,2024,Viernes
220,2024-10-14,11,2,2025,Lunes
221,2025-03-12,7,2,2024,Viernes
222,2024-12-25,4,4,2024,Martes
223,2024-12-30,3,4,2024,Viernes
224,2025-03-17,2,2,2024,Lunes
225,2025-07-21,2,1,2025,Miércoles
226,2024-10-21,7,1,2025,Miércoles
227,2025-08-17,11,4,2024,Jueves
228,2025-05-10,1,1,2024,Viernes
229,2025-02-21,7,1,2025,Martes
230,2025-05-20,11,3,2025,Lunes
231,2025-03-19,1,3,2024,Miércoles
232,2025-08-16,11,2,2024,Domingo
233,2025-09-20,8,4,2024,Viernes
234,,10,4,2024,Viernes
235,2024-11-08,,4,2025,Jueves
236,2024-10-21,,1,2025,Lunes
237,2025-05-30,,3,2025,Jueves
238,2025-05-31,5,1,2025,Jueves
239,2024-11-11,9,2,2024,Miércoles
240,2025-08-17,2,3,2024,
241,2024-11-03,3,2,2025,Viernes
242,2025-05-07,7,3,2024,Lunes
243,2025-08-14,7,4,2025,Miércoles
244,2025-01-24,8,2,,Lunes
245,2025-01-06,,2,2024,Martes
246,2025-08-06,1,3,2025,Viernes
247,2025-04-16,7,1,2024,Jueves
248,2025-02-17,12,4,,Martes
249,2025-09-28,6,2,2024,Martes
250,2025-02-15,2,2,2025,Lunes
251,2025-02-11,8,1,2025,Lunes
252,2024-10-15,10,2,2025,Martes
