id_venta,id_cliente,id_vehiculo,id_sucursal,id_fecha,cantidad_dias,monto_total,descuento,metodo_pago
1,21,,3,441,25,1671,971,Efectivo
2,33,1,1,27,,19108,76,Efectivo
3,5,13,2,531,10,763,231,Tarjeta
4,40,13,3,523,,4308,402,Tarjeta
,3,10,1,331,6,8758,336,Efectivo
6,11,12,4,242,15,8338,813,Efectivo
7,37,18,4,454,7,,325,Efectivo
8,57,20,2,665,13,7040,975,Efectivo
9,,19,,157,8,3529,468,Transferencia
10,32,19,2,85,11,14113,982,Transferencia
11,27,12,6,351,30,10546,932,Transferencia
12,82,7,4,6,12,,55,Tarjeta
13,81,,2,441,30,3571,630,Transferencia
14,82,19,,234,23,10926,193,Efectivo
15,31,19,6,544,19,7550,212,Transferencia
16,67,13,2,,4,7402,,Transferencia
17,63,1,1,290,12,,521,Tarjeta
18,74,,2,543,6,3233,,Efectivo
19,89,16,5,485,4,,661,Tarjeta
20,75,4,5,,10,,340,Transferencia
21,15,18,5,245,15,10495,231,Tarjeta
22,28,5,1,176,25,5615,,Efectivo
23,53,2,1,476,28,15549,984,Efectivo
,20,7,4,397,26,,986,Transferencia
,,7,3,540,13,15726,673,
26,54,2,5,5,6,17481,383,Transferencia
27,,19,,251,27,13796,,Transferencia
28,55,20,1,556,25,11454,352,Transferencia
29,36,13,5,655,17,18715,628,
30,2,12,4,2,17,10158,256,Transferencia
31,66,8,4,482,29,17917,466,Tarjeta
32,3,3,4,567,,14827,653,Efectivo
33,,,5,473,25,8573,414,Tarjeta
34,3,5,1,121,7,14761,368,Tarjeta
35,78,,2,316,4,13619,609,Efectivo
36,46,3,1,611,9,10440,859,Efectivo
37,27,19,4,6,8,15761,786,Efectivo
38,14,19,,542,30,12433,820,Transferencia
39,10,14,3,231,9,19844,188,Efectivo
40,94,12,3,579,13,11745,210,Tarjeta
41,66,5,1,505,25,16366,,Tarjeta
42,25,7,2,258,2,19568,455,Tarjeta
43,44,10,6,224,24,15932,677,Efectivo
44,5,19,2,297,20,7602,637,Tarjeta
45,83,3,2,657,25,6466,727,Tarjeta
46,47,13,1,507,17,2356,,Efectivo
47,41,16,6,206,11,3333,492,Efectivo
48,74,4,4,301,,1074,891,Transferencia
49,52,7,2,650,28,1912,386,
50,34,6,5,111,11,5485,358,Transferencia
51,46,17,4,206,25,4098,982,Transferencia
52,46,10,3,491,20,,615,
53,56,19,2,451,8,19082,589,Efectivo
54,73,13,3,467,,5451,352,Efectivo
55,17,16,2,652,3,,674,Efectivo
56,9,17,5,178,19,16933,204,Efectivo
57,11,14,,708,22,18211,222,Transferencia
,92,7,4,,18,13485,753,Transferencia
59,49,18,,111,21,16524,791,
60,,9,6,183,13,,415,Efectivo
61,53,15,3,709,,529,175,Transferencia
62,43,19,2,363,13,19322,784,Efectivo
63,89,15,2,482,27,19501,738,Efectivo
64,58,17,6,121,1,12109,93,Tarjeta
65,1,5,1,468,8,4401,,
66,96,6,3,287,11,2792,637,Transferencia
67,62,,5,124,12,7922,232,Tarjeta
68,43,14,6,640,22,12037,749,Efectivo
69,,16,5,80,4,12349,954,Efectivo
70,9,14,1,,4,11752,894,
71,54,15,3,714,4,10897,,
72,51,9,4,335,4,16707,786,Transferencia
73,,11,,647,15,10579,829,Transferencia
,8,7,5,577,20,11847,693,Efectivo
75,64,10,1,566,9,15685,963,
76,59,19,4,598,23,15633,979,Efectivo
77,92,4,,397,12,2469,484,Transferencia
78,47,18,2,214,4,11221,747,Efectivo
79,77,6,3,209,12,2616,440,Tarjeta
80,55,5,,268,27,2543,860,Efectivo
,90,2,1,147,20,11724,256,Transferencia
82,96,14,5,515,5,14408,419,Tarjeta
83,22,2,4,302,10,2830,103,Efectivo
84,17,8,2,495,19,4103,864,Tarjeta
85,67,1,4,252,27,6942,561,Transferencia
86,94,2,1,,28,4088,994,Efectivo
87,65,4,4,13,27,9417,221,Efectivo
88,51,4,3,209,,8557,267,Tarjeta
89,,17,3,361,8,18144,609,Tarjeta
90,10,9,4,424,15,10961,392,Efectivo
91,88,3,3,240,6,768,70,Transferencia
92,80,20,5,99,10,4627,812,Efectivo
93,77,14,6,420,22,10332,151,Tarjeta
94,,19,5,616,26,12649,101,
95,61,2,2,30,25,14103,939,Efectivo
96,70,19,4,336,24,8858,992,Tarjeta
97,45,12,6,417,14,,829,Transferencia
98,11,,1,221,12,11679,594,Tarjeta
99,3,7,6,432,8,13107,284,Efectivo
100,33,1,6,82,23,16171,880,Transferencia
101,58,3,2,391,4,16298,446,Transferencia
,14,17,6,367,5,12517,999,Transferencia
103,16,11,5,,14,17307,689,Tarjeta
,60,3,6,538,28,18628,485,Tarjeta
105,94,19,3,100,9,6542,731,
106,80,,6,492,6,11371,328,Tarjeta
107,53,10,4,401,20,13211,350,Transferencia
108,13,19,6,629,11,4489,303,Transferencia
109,,10,5,661,21,9642,375,
110,53,8,4,445,2,,614,Efectivo
111,7,12,2,729,24,5189,403,Transferencia
112,62,10,,277,1,9260,13,Transferencia
113,91,18,3,362,4,7115,529,Transferencia
114,24,14,1,216,20,14267,681,Efectivo
